Countries,Nigeria,Kenya,Benin,Côte d'Ivoire,Malawi,Uganda,Zimbabwe,Zambia,Burundi,Botswana,Ethiopia
Total,49.06,43.49,46.96,39.66,38.76,38.53,31.29,29.93,28.13,21.41,21.06
Broadband Policy and Planning,17.36,18.19,17.86,17.76,16.36,17.03,12.59,12.53,10.23,9.21,11.36
Infrastructure mapping,7.7,5.9,6.6,7.7,2.2,6.8,6.7,1.8,0.8,0,0.5
Service Mapping and Regulatory Monitoring,9,8.5,7.5,6.5,12.5,5.5,6.5,10.5,9,3,3
Data collection verification and accuracy,6.2,1.9,8.3,2.8,0,3.4,1.9,0,2.5,0.6,1.2
Infrastructure coverage and resilience,8.8,9,6.7,4.9,7.7,5.8,3.6,5.1,5.6,8.6,5
